,brand,model,full_title,engine_displacement_cm3,power_hp,ad_description,price_eur,mileage_km,fuel_type,production_year
0,Porsche,Macan,Porsche Macan 3.6 PDK Turbo,3604.0,400.0,"Turbo, Garanție aprobată, Primul proprietar fără accident, Sport Chron",31499.0,168188.0,Benzina,2014.0
1,Mercedes-Benz,GLC Coupe,Mercedes-Benz GLC Coupe 300 e 4Matic 9G-TRONIC AMG Line,1991.0,319.0,AMG Trapa Distronic Camere 360 Webasto Burmester Ceasuri Digitale,44757.9,112197.0,Hibrid Plug-In,2020.0
2,Renault,Trafic,Renault Trafic 1.6 dCi 115 L1H1 Komfort,1598.0,115.0,1.6 dCi | 2014 | L1H1 | Carte service | ITP Nou | Aer conditionat |,7700.0,363404.0,Diesel,2014.0
3,Volkswagen,Passat,Volkswagen Passat,1598.0,120.0,1.6 TDI | 07.2018 | Garantie 12 Luni | Distributie schimbata | ACC,10990.0,218877.0,Diesel,2018.0
4,Ford,Kuga,Ford Kuga 2.0 EcoBlue 4x4 Aut. VIGNALE,1995.0,190.0,Vignale AWD Camere360 ACC Keyless Revizie la zi Garantie,25397.9,68781.0,Diesel,2021.0
5,BMW,,BMW Seria 2  218i Gran Coupe Aut. M Sport,1499.0,136.0,M Sport LED H&K Distronic Volan Incalzit Camere Masarier Revizie la zi,31447.9,46500.0,Benzina,2023.0
6,BMW,,BMW Seria 2  218i Gran Coupe Aut. M Sport,1499.0,136.0,M Sport Distronic Volan Incalzit H&K Camera Masarieri Garantie,30237.9,80500.0,Benzina,2023.0
7,BMW,X1,BMW X1 sDrive18d Aut. M Sportpaket,1995.0,150.0,"""M"" pachet,Faruri Laser,lumini ambientale,virtual ,Lane-side assist",33500.0,79500.0,Diesel,2023.0
8,Renault,Clio,Renault Clio IV 0.9 Energy TCe Intens,898.0,90.0,Renault clio Energy tce intens/Posibilitate Rate,7390.0,130900.0,Benzina,2019.0
9,Porsche,Cayenne,Porsche Cayenne ver-s-e--hybrid-platinum-edition,2995.0,333.0,"Porsche Cayenne S E-Hybrid,Prim Proprietar,TVA Deductibil,Ofer factura",27460.0,266638.0,Hibrid Plug-In,2015.0
10,Ford,Puma,Ford Puma 1.0 EcoBoost Titanium,999.0,125.0,"Vând Ford Puma 1.0 EcoBoost 125 CP, an fabricație 2020",11700.0,158700.0,Benzina,2020.0
11,Mercedes-Benz,GLE,Mercedes-Benz GLE 450 4Matic 9G-TRONIC AMG Line,2999.0,367.0,AMG Sus Pneumatica Panoramic Camere360 Webasto Ventilatie Garantie,62907.9,105756.0,Benzina,2020.0
12,Lexus,UX,Lexus UX 250h 2.0L HEV 20H- (178 HP) 4X4 CVT F Sport,1987.0,177.0,Lexus Ux250h F Sport/ Tva deductibil/ Garantie/ Istoric,26438.5,131006.0,Hibrid,2022.0
13,Mercedes-Benz,GLB,Mercedes-Benz GLB 200 d 4Matic 8G-DCT AMG Line,1950.0,150.0,AMG 4Matic Pano Ceasuri Digitale Lumini ambientale Revizii la zi Garan,37497.9,98418.0,Diesel,2022.0
14,Lexus,UX,Lexus UX 250h (E-FOUR) Launch Edition,1987.0,152.0,4WD Led Piele Scaune Incalzite Camera Revizii la zi Garantie,27212.9,109543.0,Hibrid,2021.0
15,Land Rover,Range Rover Vogue,Land Rover Range Rover Vogue,2993.0,258.0,Primul proprietar,24800.0,248000.0,Diesel,2014.0
16,Skoda,Superb,Skoda Superb Combi 2.0 TDI 4X4 DSG Laurin & Klement,1968.0,190.0,L&K 4x4 Cristal LED Pano ACC Ventilatie Masaj Canton Webasto FULL,29027.9,134601.0,Diesel,2020.0
17,BMW,X5,BMW X5 xDrive30d,2993.0,265.0,"xDrive30d, M Sport, Factură, Primul proprietar, Fără accident, Masaj",46999.0,147956.0,Diesel,2019.0
18,Toyota,C-HR,Toyota C-HR 2.0 HSD 184 CP 4x2 CVT Style,1987.0,184.0,2.0 Hybrid Facelift Garantie 10 ani Revizie în 2025,27212.9,18016.0,Hibrid,2024.0
19,Lexus,Seria NX,Lexus Seria NX 300h AWD F Sport,2494.0,155.0,F-Sport AWD ACC Scaune Piele Panoramic Piele Revizii la zi Garantie,24187.9,141200.0,Hibrid,2016.0
20,Peugeot,508,Peugeot 508 BlueHDi 180 EAT8 GT,1997.0,177.0,2.0 GT Line Panoramic Keyless go entry Revizii la zi Garantie,19952.9,131850.0,Diesel,2019.0
21,Mercedes-Benz,C,Mercedes-Benz C,1991.0,211.0,AMG Plugin Hibrid Panoramic Webasto Camera Masarier Garantie,31447.9,145311.0,Hibrid Plug-In,2020.0
22,Mercedes-Benz,AMG,Mercedes-Benz AMG,2999.0,367.0,Primul proprietar stare perfecta de functionare,51200.0,94000.0,Benzina,2020.0
23,Ford,Explorer,Ford Explorer EcoBoost Plug-in Hybrid PLATINUM,2956.0,363.0,PHEV Platinum 7Locuri Panoramic Ventilatie Camere360 Garantie,41127.9,93414.0,Hibrid Plug-In,2021.0
24,Volvo,XC 90,Volvo XC 90 T8 eAWD Momentum Pro,1969.0,303.0,T8 AWD 7 Locuri Pano Camere 360 ACC Harman Kardon Revizii la zi Garant,42337.9,130811.0,Hibrid Plug-In,2021.0
